genre,movie_count,avg_rating,avg_votes
Action,59,7.647457627118644,136219.94915254237
Drama,58,7.289655172413793,55713.81034482759
Adventure,56,7.226785714285714,197541.0892857143
Fantasy,55,7.025454545454545,77040.96363636364
Crime,51,6.966666666666667,54859.25490196078
Comedy,50,6.768,49323.9
Thriller,44,6.6840909090909095,117462.27272727272
Sci-Fi,42,6.733333333333333,184307.02380952382
Animation,40,7.220000000000001,28236.325
Horror,28,5.417857142857143,49504.32142857143
Mystery,25,6.284,61072.56
Romance,23,6.630434782608695,31812.434782608696
Western,20,6.555,59177.25
Short,18,7.3500000000000005,2232.777777777778
Family,18,6.455555555555556,34890.27777777778
Biography,15,6.846666666666667,40630.26666666667
History,15,6.84,4025.0
War,14,5.428571428571429,28001.714285714286
Documentary,12,7.375,433.5
Musical,2,6.1,43373.0
Music,1,7.3,1076.0
Sport,1,6.5,69939.0
